frequency,nearby,raw,percentage,onoff
1,1,1=1,0.116666667,on
1,1,1=1,0.116666667,off
1,1,1=1,0.116666667,on
1,1,1=1,0.116666667,on
1,1,1=1,0.116666667,on
6,6,6=6,0.083333333,off
6,6,6=6,0.083333333,off
0,0,0=0,0.016666667,off
5,5,5=5,0.083333333,on
3,3,3=3,0.1,on
4,4,4=4,0.066666667,on
0,1,0=1,0.033333333,on
5,5,5=5,0.083333333,on
4,4,4=4,0.066666667,off
4,4,4=4,0.066666667,on
3,3,3=3,0.1,on
3,5,3=5,0.016666667,off
2,5,2=5,0.016666667,off
3,6,3=6,0.033333333,off
6,6,6=6,0.083333333,off
2,2,2=2,0.216666667,on
3,3,3=3,0.1,on
2,2,2=2,0.216666667,on
1,6,1=6,0.05,off
2,6,2=6,0.1,on
2,6,2=6,0.1,off
5,5,5=5,0.083333333,off
5,6,5=6,0.016666667,off
2,2,2=2,0.216666667,on
5,5,5=5,0.083333333,on
2,2,2=2,0.216666667,on
0,5,0=5,0.016666667,off
3,3,3=3,0.1,on
3,3,3=3,0.1,off
2,6,2=6,0.1,off
4,6,4=6,0.016666667,off
1,1,1=1,0.116666667,off
2,6,2=6,0.1,on
2,2,2=2,0.216666667,on
2,6,2=6,0.1,on
1,6,1=6,0.05,off
1,6,1=6,0.05,on
3,6,3=6,0.033333333,off
2,2,2=2,0.216666667,on
4,4,4=4,0.066666667,off
0,1,0=1,0.033333333,off
2,2,2=2,0.216666667,on
2,2,2=2,0.216666667,off
6,6,6=6,0.083333333,on
2,2,2=2,0.216666667,on
6,6,6=6,0.083333333,on
2,6,2=6,0.1,off
3,3,3=3,0.1,on
2,2,2=2,0.216666667,on
2,2,2=2,0.216666667,on
1,1,1=1,0.116666667,on
5,5,5=5,0.083333333,on
2,2,2=2,0.216666667,on
2,2,2=2,0.216666667,on
2,3,2=3,0.016666667,off
